Date,Open,High,Low,Close,Adj Close,Volume
9/15/2020,208.419998,209.779999,206.929993,208.779999,206.881653,21823900
9/16/2020,210.619995,210.649994,204.639999,205.050003,203.185562,26328100
9/17/2020,200.050003,204.330002,199.960007,202.910004,201.065033,34011300
9/18/2020,202.800003,203.649994,196.25,200.389999,198.567947,55225300
9/21/2020,197.190002,202.710007,196.380005,202.539993,200.69838,39839700
9/22/2020,205.059998,208.100006,202.080002,207.419998,205.534012,33517100
9/23/2020,207.899994,208.100006,200.029999,200.589996,198.766129,30803800
9/24/2020,199.850006,205.570007,199.199997,203.190002,201.342484,31202500
9/25/2020,203.550003,209.039993,202.539993,207.820007,205.930389,29437300
9/28/2020,210.880005,212.570007,208.059998,209.440002,207.535629,32004900
9/29/2020,209.350006,210.070007,206.809998,207.259995,205.375473,24221900
9/30/2020,207.729996,211.979996,206.539993,210.330002,208.417557,33829100
10/1/2020,213.490005,213.990005,211.320007,212.460007,210.528198,27158400
10/2/2020,208,210.990005,205.539993,206.190002,204.315201,33154800
10/5/2020,207.220001,210.410004,206.979996,210.380005,208.467117,21331600
10/6/2020,208.820007,210.179993,204.820007,205.910004,204.037735,28554300
10/7/2020,207.059998,210.110001,206.720001,209.830002,207.922119,25681100
10/8/2020,210.509995,211.190002,208.320007,210.580002,208.665298,19925800
10/9/2020,211.229996,215.860001,211.229996,215.809998,213.847733,26458000
10/12/2020,218.789993,223.860001,216.809998,221.399994,219.386902,40461400
10/13/2020,222.720001,225.210007,220.429993,222.860001,220.833618,28950800
10/14/2020,223,224.220001,219.130005,220.860001,218.851807,23421700
10/15/2020,217.100006,220.360001,216.009995,219.660004,217.662735,22733100
10/16/2020,220.149994,222.289993,219.320007,219.660004,217.662735,26057900
10/19/2020,220.419998,222.300003,213.720001,214.220001,212.272202,27625800
10/20/2020,215.800003,217.369995,213.089996,214.649994,212.698257,22753500
10/21/2020,213.119995,216.919998,213.119995,214.800003,212.846924,22724900
10/22/2020,213.929993,216.059998,211.699997,214.889999,212.936081,22351500
10/23/2020,215.029999,216.279999,213.160004,216.229996,214.263916,18879600
10/26/2020,213.850006,216.339996,208.100006,210.080002,208.16983,37111600
10/27/2020,211.589996,214.669998,210.330002,213.25,211.311005,36700300
10/28/2020,207.669998,208.839996,202.100006,202.679993,200.837128,51195600
10/29/2020,204.070007,207.360001,203.369995,204.720001,202.858551,31432600
10/30/2020,203.5,204.289993,199.619995,202.470001,200.629028,36953700
11/2/2020,204.289993,205.279999,200.119995,202.330002,200.490311,30842200
11/3/2020,203.889999,208.119995,203.119995,206.429993,204.553009,27512000
11/4/2020,214.020004,218.320007,212.419998,216.389999,214.422455,42311800
11/5/2020,222.039993,224.119995,221.149994,223.289993,221.25972,36080100
11/6/2020,222.259995,224.360001,218.029999,223.720001,221.685806,25231900
11/9/2020,224.440002,228.119995,217.880005,218.389999,216.404282,44395000
11/10/2020,214.5,216.5,209.720001,211.009995,209.091385,44045100
11/11/2020,212.389999,218.039993,212.199997,216.550003,214.581009,29440800
11/12/2020,217.210007,219.110001,214.460007,215.440002,213.481094,21593900
11/13/2020,216.360001,217.419998,214.160004,216.509995,214.541367,18621100
11/16/2020,214.869995,217.740005,214.520004,217.229996,215.254822,24953300
11/17/2020,216.100006,217.679993,214.080002,214.460007,212.510025,24154100
11/18/2020,213.649994,215.169998,210.929993,211.080002,209.708328,28372800
11/19/2020,211.380005,213.029999,209.929993,212.419998,211.039627,24792700
11/20/2020,212.199997,213.289993,210,210.389999,209.022812,22843100
11/23/2020,210.949997,212.289993,208.160004,210.110001,208.744629,25683500
11/24/2020,209.589996,214.25,208.860001,213.860001,212.470276,33979700
11/25/2020,215.110001,215.289993,212.460007,213.869995,212.480209,21012900
11/27/2020,214.850006,216.270004,214.039993,215.229996,213.83136,14512200
11/30/2020,214.100006,214.759995,210.839996,214.070007,212.678909,33064800
12/1/2020,214.509995,217.320007,213.350006,216.210007,214.805008,30904500
12/2/2020,214.880005,215.470001,212.800003,215.369995,213.970444,23724500
12/3/2020,214.610001,216.380005,213.649994,214.240005,212.847809,25120900
12/4/2020,214.220001,215.380005,213.179993,214.360001,212.967026,24666000
12/7/2020,214.369995,215.539993,212.990005,214.289993,212.897461,24620000
12/8/2020,213.970001,216.949997,212.889999,216.009995,214.606293,23284100
12/9/2020,215.160004,215.229996,211.210007,211.800003,210.42366,32440600
